"lemma","originalCandidate","pos","candidateLevel","article","sourceCourses","courseUnits","firstChapter","sourceInflections","officialForms","officialPOS","officialHeadwordFound","zh","exampleNb","exampleZh","resolution"
"fordi","fordi","从属连词","","","NTNU LearnNoW; NTNU NoW1","06P; 08D","6","","fordi","SCONJ","True","","","","Ordbank 词头匹配"
"kino","kino","名词","","en","NTNU LearnNoW; NTNU NoW1","06D; 07B","6","kinoen, kinoer, kinoene","kino · kinoen · kinoene · kinoer","NOUN","True","","","","Ordbank 词头匹配"
"konsert","konsert","名词","","en","NTNU LearnNoW; NTNU NoW1","06M; 11D","6","konserten, konserter, konsertene","konsert · konserten · konsertene · konserter","NOUN","True","","","","Ordbank 词头匹配"
"kurs","kurs","名词","","et","NTNU LearnNoW; NTNU NoW1","06P; 08B","6","kurset, kurs, kursene","kurs · kursa · kursen · kursene · kurser · kurset","NOUN","True","","","","Ordbank 词头匹配"
"sove","sove","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","06A","6","sove – sover – sov – sovet / sover, sov, har sovet","sov · sove · soven · sovende · sover · soves · sovet · sovne","VERB","True","睡","Jeg sover godt.","","Ordbank 词头匹配"
"synes","synes","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","06C","6","synes – synes – syntes – syntes / synes, syntes, har syntes","synes · syns · syntes","VERB","True","觉得、认为","Jeg synes det.","","Ordbank 词头匹配"
"vite","vite","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","06C; 07C; 11B","6","vet, visste, har visst / vite – vet – visste – visst","veit · vet · visst · visste · vit · vite · vitende · vites","VERB","True","知道","Jeg vet det.","","Ordbank 词头匹配"
"akkurat","akkurat","副词","","","NTNU LearnNoW","06C","6","","akkurat","ADV","True","","","","Ordbank 词头匹配"
"annen","annen","形容词","","","NTNU LearnNoW","06C; 06D","6","anna (f), annet (n), andre (pl)","andre · anna · annen · annet","ADJ","True","","","","Ordbank 词头匹配"
"arkitektstudent","arkitektstudent","名词","","en","NTNU NoW1","06A","6","","","","False","","","","存在多个可能词头；需人工消歧"
"arrangement","arrangement","名词","","et","NTNU NoW1","06M","6","","arrangement · arrangementa · arrangementene · arrangementer · arrangementet","NOUN","True","","","","Ordbank 词头匹配"
"arrangere","arrangere","动词","","å","NTNU NoW1","06M","6","","arranger · arrangere · arrangerende · arrangerer · arrangeres · arrangert · arrangerte","VERB","True","","","","Ordbank 词头匹配"
"auditorium","auditorium","名词","","et","NTNU NoW1","06P","6","","auditoria · auditoriene · auditorier · auditoriet · auditorium","NOUN","True","","","","Ordbank 词头匹配"
"avgift","avgift","名词","","en","NTNU NoW1","06K","6","","avgift · avgifta · avgiften · avgiftene · avgifter","NOUN","True","","","","Ordbank 词头匹配"
"bank","bank","名词","","en","NTNU LearnNoW","06B","6","banken, banker, bankene","bank · banka · banken · bankene · banker · banket","NOUN","True","","","","Ordbank 词头匹配"
"barne-TV","barne-TV","名词","","en","NTNU LearnNoW","06B","6","barne-TV-en, barne-TV-er, barne-TV-ene","barne-TV · barne-TV-en · barne-TV-ene · barne-TV-er","NOUN","True","","","","Ordbank 词头匹配"
"billig","billig","形容词","","","NTNU LearnNoW","06C","6","billig, billige","billig · billige · billigere · billigst · billigste","ADJ","True","","","","Ordbank 词头匹配"
"bok","bok","名词","","","NTNU NoW1","06K","6","","bok · boka · boken · bokene · bøkene · boker · bøker","NOUN","True","","","","Ordbank 词头匹配"
"bokstav","bokstav","名词","","en","NTNU LearnNoW","06C","6","bokstaven, bokstaver, bokstavene","bokstav · bokstaven · bokstavene · bokstaver","NOUN","True","","","","Ordbank 词头匹配"
"brun","brun","形容词","","","NTNU LearnNoW","06A","6","brunt, brune","brun · brune · brunere · brunest · bruneste · brunt","ADJ","True","","","","Ordbank 词头匹配"
"campus","campus","名词","","en","NTNU NoW1","06K","6","","campus · campusen · campusene · campuser","NOUN","True","","","","Ordbank 词头匹配"
"cola","cola","名词","","en","NTNU LearnNoW","06D","6","colaen, colaer, colaene","cola · colaen · colaene · colaer","NOUN","True","","","","Ordbank 词头匹配"
"dagsbillett","dagsbillett","名词","","en","NTNU NoW1","06M","6","","","","False","","","","存在多个可能词头；需人工消歧"
"danse","danse","动词","","å","NTNU NoW1","06M","6","","dans · dansa · danse · dansede · dansende · danser · danses · danset · dansete","VERB","True","","","","Ordbank 词头匹配"
"dekke","dekke","动词","","å","NTNU LearnNoW","06A","6","dekker, dekket, har dekket","dekk · dekka · dekke · dekkede · dekkende · dekkene · dekker · dekkes · dekket · dekkete · dekt · dekte","VERB","True","","","","Ordbank 词头匹配"
"disk","disk","名词","","en","NTNU LearnNoW","06D","6","disken, disker, diskene","disk · disken · diskene · disker","NOUN","True","","","","Ordbank 词头匹配"
"dit","dit","副词","","","NTNU LearnNoW","06B","6","","dit","ADV","True","","","","Ordbank 词头匹配"
"eksempel","eksempel","名词","","et","NTNU LearnNoW","06C","6","eksempelet, eksempler, eksemplene","eksempel · eksempelet · eksempla · eksemplene · eksempler","NOUN","True","","","","Ordbank 词头匹配"
"elegant","elegant","形容词","","","NTNU LearnNoW","06C","6","elegant, elegante","elegant · elegante","ADJ","True","","","","Ordbank 词头匹配"
"elleve","elleve","限定词","","","NTNU LearnNoW","06C","6","","elleve","DET","True","","","","Ordbank 词头匹配"
"eplekake","eplekake","名词","","ei","NTNU LearnNoW","06D","6","eplekaka, eplekaker, eplekakene","eplekaka · eplekake · eplekaken · eplekakene · eplekaker","NOUN","True","","","","Ordbank 词头匹配"
"femhundrelapp","femhundrelapp","名词","","en","NTNU LearnNoW","06C","6","femhundrelappen, femhundrelapper, femhundrelappene","","","False","","","","存在多个可能词头；需人工消歧"
"festival","festival","名词","","en","NTNU NoW1","06M","6","","festival · festivalen · festivalene · festivaler","NOUN","True","","","","Ordbank 词头匹配"
"flaske","flaske","名词","","ei","NTNU LearnNoW","06D","6","flaska, flasker, flaskene","flask · flaska · flaske · flaskede · flasken · flaskende · flaskene · flasker · flaskes · flasket · flaskete","NOUN","True","","","","Ordbank 词头匹配"
"før","før","形容词","","","NTNU NoW1","06K","6","","før · føre · førere · førest · føreste · ført","ADJ; SCONJ; ADP","True","","","","Ordbank 词头匹配"
"foreleser","foreleser","名词","","en","NTNU NoW1","06A","6","","foreleser · forelesere · foreleseren · foreleserne","NOUN","True","","","","Ordbank 词头匹配"
"forelesning","forelesning","名词","","en","NTNU NoW1","06A","6","","forelesning · forelesninga · forelesningen · forelesningene · forelesninger","NOUN","True","","","","Ordbank 词头匹配"
"forskjellig","forskjellig","形容词","","","NTNU LearnNoW","06B","6","forskjellig, forskjellige","forskjellig · forskjellige · forskjelligere · forskjelligst · forskjelligste","ADJ","True","","","","Ordbank 词头匹配"
"fortelle","fortelle","动词","","","NTNU NoW1","06P","6","","fortalt · fortalte · fortell · fortelle · fortellende · forteller · fortelles","VERB","True","","","","Ordbank 词头匹配"
"gjette","gjette","动词","","å","NTNU LearnNoW","06A","6","gjetter, gjettet, har gjettet","gjett · gjetta · gjette · gjettede · gjettende · gjetter · gjettes · gjettet · gjettete","VERB","True","","","","Ordbank 词头匹配"
"gjøre","gjøre","动词","","","NTNU NoW1","06A; 07B","6","","gjør · gjorde · gjøre · gjørende · gjøres · gjort · gjorte","VERB","True","","","","Ordbank 词头匹配"
"grønn","grønn","形容词","","","NTNU LearnNoW","06C","6","grønt, grønne","grønn · grønne · grønnere · grønnest · grønneste · grønt","ADJ","True","","","","Ordbank 词头匹配"
"grovbrød","grovbrød","名词","","et","NTNU LearnNoW","06A","6","grovbrødet, grovbrød, grovbrødene","grovbrød · grovbrøda · grovbrødene · grovbrødet","NOUN","True","","","","Ordbank 词头匹配"
"helårskort","helårskort","名词","","et","NTNU NoW1","06M","6","","","","False","","","","存在多个可能词头；需人工消歧"
"helt","helt","副词","","","NTNU LearnNoW","06C","6","","helt · helten · heltene · helter","NOUN","True","","","","Ordbank 词头匹配"
"høre","høre","动词","","","NTNU NoW1","06P","6","","hør · høre · hørende · hører · høres · hørt · hørte","VERB","True","","","","Ordbank 词头匹配"
"høy","høy","形容词","","","NTNU LearnNoW","06C; 10D","6","høyt, høye","høy · høya · høye · høyene · høyere · høyest · høyeste · høyet · høyt","ADJ","True","","","","Ordbank 词头匹配"
"hud","hud","名词","","en","NTNU LearnNoW","06A","6","huden, huder, hudene","hud · huda · huden · hudene · huder","NOUN","True","","","","Ordbank 词头匹配"
"hvit","hvit","形容词","","","NTNU LearnNoW","06A","6","hvitt, hvite","hvit · hvite · hvitere · hvitest · hviteste · hvitt","ADJ","True","","","","Ordbank 词头匹配"
"hvorfor","hvorfor","副词","","","NTNU LearnNoW","06D","6","","hvorfor","ADV","True","","","","Ordbank 词头匹配"
"idé","idé","名词","","en","NTNU LearnNoW","06D","6","ideen, ideer, ideene","idé · ideen · idéen · ideene · idéene · ideer · idéer","NOUN","True","","","","Ordbank 词头匹配"
"idrettssenter","idrettssenter","名词","","et","NTNU NoW1","06M","6","","idrettssenter · idrettssentera · idrettssenteret · idrettssentre · idrettssentrene","NOUN","True","","","","Ordbank 词头匹配"
"inne","inne","副词","","","NTNU LearnNoW","06C","6","","inne","ADV","True","","","","Ordbank 词头匹配"
"inngang","inngang","名词","","en","NTNU NoW1","06K","6","","inngang · inngangen · inngangene · innganger","NOUN","True","","","","Ordbank 词头匹配"
"institutt","institutt","名词","","et","NTNU NoW1","06K","6","","institutt · institutta · instituttene · institutter · instituttet","NOUN","True","","","","Ordbank 词头匹配"
"interessant","interessant","形容词","","","NTNU LearnNoW","06C","6","interessant, interessante","interessant · interessante","ADJ","True","","","","Ordbank 词头匹配"
"kåpe","kåpe","名词","","ei","NTNU LearnNoW","06C","6","kåpa, kåper, kåpene","kåpa · kåpe · kåpen · kåpene · kåper","NOUN","True","","","","Ordbank 词头匹配"
"kjempegod","kjempegod","形容词","","","NTNU LearnNoW","06D","6","kjempegodt, kjempegode","kjempegod · kjempegode · kjempegodt","ADJ","True","","","","Ordbank 词头匹配"
"kjempekoselig","kjempekoselig","形容词","","","NTNU LearnNoW","06B","6","kjempekoselig, kjempekoselige","","","False","","","","存在多个可能词头；需人工消歧"
"kjole","kjole","名词","","en","NTNU LearnNoW","06C","6","kjolen, kjoler, kjolene","kjole · kjolen · kjolene · kjoler","NOUN","True","","","","Ordbank 词头匹配"
"klær","klær","名词","","","NTNU LearnNoW","06C","6","klærne","klær · klærne","NOUN","True","","","","Ordbank 词头匹配"
"kode","kode","名词","","en","NTNU LearnNoW","06D","6","koden, koder, kodene","kod · koda · kode · kodede · koden · kodende · kodene · koder · kodes · kodet · kodete","NOUN","True","","","","Ordbank 词头匹配"
"komme","komme","动词","","","NTNU NoW1","06P","6","","kom · komma · komme · kommen · kommende · kommene · kommer · kommes · kommet · komne","VERB; NOUN","True","","","","Ordbank 词头匹配"
"kompendium","kompendium","名词","","et","NTNU NoW1","06A","6","","kompendia · kompendiene · kompendier · kompendiet · kompendium","NOUN","True","","","","Ordbank 词头匹配"
"konsulent","konsulent","名词","","en","NTNU NoW1","06K","6","","konsulent · konsulenten · konsulentene · konsulenter","NOUN","True","","","","Ordbank 词头匹配"
"kort","kort","形容词","","","NTNU LearnNoW","06A","6","kort, korte","kort · korta · korte · kortene · kortere · kortest · korteste · kortet","ADJ","True","","","","Ordbank 词头匹配"
"kvittering","kvittering","名词","","en","NTNU LearnNoW","06C","6","kvitteringen, kvitteringer, kvitteringene","kvittering · kvitteringa · kvitteringen · kvitteringene · kvitteringer","NOUN","True","","","","Ordbank 词头匹配"
"lav","lav","形容词","","","NTNU LearnNoW","06C","6","lavt, lave","lav · lava · lave · laven · lavene · laver · lavere · lavest · laveste · lavet · lavt","ADJ","True","","","","Ordbank 词头匹配"
"lekebutikk","lekebutikk","名词","","en","NTNU LearnNoW","06C","6","lekebutikken, lekebutikker, lekebutikkene","","","False","","","","存在多个可能词头；需人工消歧"
"lenge","lenge","副词","","","NTNU LearnNoW","06C","6","lenger, lengst","lenga · lenge · lengen · lengene · lenger · lengst","ADV","True","","","","Ordbank 词头匹配"
"lenger","lenger","副词","","","NTNU LearnNoW","06D","6","","lenger","ADV","True","","","","Ordbank 词头匹配"
"lørdag","lørdag","名词","","en","NTNU LearnNoW","06A","6","lørdagen, lørdager, lørdagene","lørdag · lørdagen · lørdagene · lørdager","NOUN","True","","","","Ordbank 词头匹配"
"lue","lue","名词","","ei","NTNU LearnNoW","06C","6","lua, luer, luene","lu · lua · lue · luede · luen · luende · luene · luer · lues · luet · luete","NOUN","True","","","","Ordbank 词头匹配"
"lys","lys","形容词","","","NTNU LearnNoW","06C","6","lyst, lyse","lys · lysa · lyse · lysene · lysere · lysest · lyseste · lyset · lyst","ADJ","True","","","","Ordbank 词头匹配"
"lysebrun","lysebrun","形容词","","","NTNU LearnNoW","06C","6","lysebrunt, lysebrune","lysebrun · lysebrune · lysebrunt","ADJ","True","","","","Ordbank 词头匹配"
"moderne","moderne","形容词","","","NTNU LearnNoW","06B","6","moderne, moderne","moderne","ADJ","True","","","","Ordbank 词头匹配"
"møtes","møtes","动词","","å","NTNU LearnNoW","06C","6","møtes, møttes, har møttes","møtes · møttes","VERB","True","","","","Ordbank 词头匹配"
"når","når","从属连词","","","NTNU LearnNoW","06C","6","","når","SCONJ; ADV","True","","","","Ordbank 词头匹配"
"naturligvis","naturligvis","副词","","","NTNU LearnNoW","06C","6","","naturligvis","ADV","True","","","","Ordbank 词头匹配"
"ned","ned","副词","","","NTNU LearnNoW","06A","6","","ned","ADV","True","","","","Ordbank 词头匹配"
"nok","nok","副词","","","NTNU LearnNoW","06D","6","","NOK","ADV","True","","","","Ordbank 词头匹配"
"nydelig","nydelig","形容词","","","NTNU LearnNoW","06C","6","nydelig, nydelige","nydelig · nydelige · nydeligere · nydeligst · nydeligste","ADJ","True","","","","Ordbank 词头匹配"
"øyeblikk","øyeblikk","名词","","et","NTNU LearnNoW","06C","6","øyeblikket, øyeblikk, øyeblikkene","øyeblikk · øyeblikka · øyeblikkene · øyeblikket","NOUN","True","","","","Ordbank 词头匹配"
"par","par","名词","","et","NTNU LearnNoW","06C","6","paret, par, parene","par · para · parene · paret","NOUN","True","","","","Ordbank 词头匹配"
"parkere","parkere","动词","","å","NTNU LearnNoW","06B","6","parkerer, parkerte, har parkert","parker · parkere · parkerende · parkerer · parkeres · parkert · parkerte","VERB","True","","","","Ordbank 词头匹配"
"parkeringsplass","parkeringsplass","名词","","en","NTNU LearnNoW","06B","6","parkeringsplassen,parkeringsplasser, parkeringsplassene","parkeringsplass · parkeringsplassen · parkeringsplassene · parkeringsplasser","NOUN","True","","","","Ordbank 词头匹配"
"passe","passe","动词","","å","NTNU LearnNoW","06C","6","passer, passet, har passet","pass · passa · passe · passede · passee · passende · passer · passes · passet · passete","VERB","True","","","","Ordbank 词头匹配"
"plutselig","plutselig","副词","","","NTNU LearnNoW","06C","6","","plutselig · plutselige","ADJ","True","","","","Ordbank 词头匹配"
"pusse","pusse","动词","","å","NTNU LearnNoW","06A","6","pusser, pusset, har pusset","puss · pussa · pusse · pussede · pussende · pusser · pusses · pusset · pussete","VERB","True","","","","Ordbank 词头匹配"
"rabatt","rabatt","名词","","en","NTNU LearnNoW","06C","6","rabatten, rabatter, rabattene","rabatt · rabatten · rabattene · rabatter","NOUN","True","","","","Ordbank 词头匹配"
"salg","salg","名词","","et","NTNU LearnNoW","06B","6","salget, salg, salgene","salg · salga · salgene · salget","NOUN","True","","","","Ordbank 词头匹配"
"sein","seinere","形容词","","","NTNU LearnNoW","06A","6","","sein · seine · seinere · seinest · seineste · seint","ADJ","True","","","","按 Ordbank 屈折形式归回词头"
"selv","selv","名词","","","NTNU LearnNoW","06A","6","","selv · selva · selve · selvene · selvet","NOUN; DET","True","","","","Ordbank 词头匹配"
"sikkert","sikkert","副词","","","NTNU LearnNoW","06C","6","","","","False","","","","存在多个可能词头；需人工消歧"
"sjiraff","sjiraff","名词","","en","NTNU LearnNoW","06C","6","sjiraffen, sjiraffer, sjiraffene","sjiraff · sjiraffen · sjiraffene · sjiraffer","NOUN","True","","","","Ordbank 词头匹配"
"sjokoladekake","sjokoladekake","名词","","ei","NTNU LearnNoW","06D","6","sjokoladekaka, sjokoladekaker, sjokoladekakene","sjokoladekaka · sjokoladekake · sjokoladekaken · sjokoladekakene · sjokoladekaker","NOUN","True","","","","Ordbank 词头匹配"
"skjære","skjære","动词","","å","NTNU LearnNoW","06A","6","skjærer, skar, har skåret","skar · skåren · skåret · skårne · skjær · skjæra · skjære · skjæren · skjærende · skjærene · skjærer · skjæres","VERB","True","","","","Ordbank 词头匹配"
"skobutikk","skobutikk","名词","","en","NTNU LearnNoW","06C","6","skobutikken, skobutikker, skobutikkene","skobutikk · skobutikken · skobutikkene · skobutikker","NOUN","True","","","","Ordbank 词头匹配"
"smil","smil","名词","","et","NTNU LearnNoW","06A","6","smilet, smil, smilene","smil · smila · smilene · smilet","NOUN","True","","","","Ordbank 词头匹配"
"smør","smør","名词","","et","NTNU LearnNoW","06A","6","smøret","smør · smøra · smørene · smøret","NOUN","True","","","","Ordbank 词头匹配"
"snill","snill","形容词","","","NTNU LearnNoW","06A","6","snilt, snille","snill · snille · snillere · snillest · snilleste · snilt","ADJ","True","","","","Ordbank 词头匹配"
"sted","sted","名词","","et","NTNU LearnNoW","06D","6","stedet, steder, stedene","sted · stedene · steder · stedet","NOUN","True","","","","Ordbank 词头匹配"
"stykke","stykke","名词","","et","NTNU LearnNoW","06D","6","stykket, stykker, stykkene","stykk · stykka · stykke · stykkede · stykkende · stykkene · stykker · stykkes · stykket · stykkete · stykt · stykte","NOUN","True","","","","Ordbank 词头匹配"
"svart","svart","形容词","","","NTNU LearnNoW","06C","6","svart, svarte","svart · svarte · svartere · svartest · svarteste","ADJ","True","","","","Ordbank 词头匹配"
"syttito","syttito","数词","","","NTNU LearnNoW","06D","6","","","","False","","","","常见屈折形式/透明构词人工归一；待复核"
"tast","tast","名词","","en","NTNU LearnNoW","06D","6","tasten, taster, tastene","tast · tasten · tastene · taster","NOUN","True","","","","Ordbank 词头匹配"
"tidlig","tidlig","形容词","","","NTNU LearnNoW","06A","6","tidlig, tidlige","tidlig · tidlige · tidligere · tidligst · tidligste","ADJ","True","","","","Ordbank 词头匹配"
"tilbake","tilbake","副词","","","NTNU LearnNoW","06C","6","","tilbake","ADV","True","","","","Ordbank 词头匹配"
"tilbud","tilbud","名词","","et","NTNU LearnNoW","06C","6","tilbudet, tilbud, tilbudene","tilbud · tilbuda · tilbudene · tilbudet","NOUN","True","","","","Ordbank 词头匹配"
"tohundrelapp","tohundrelapp","名词","","en","NTNU LearnNoW","06D","6","tohundrelappen, tohundrelapper, tohundrelappene","tohundrelapp · tohundrelappen · tohundrelappene · tohundrelapper","NOUN","True","","","","Ordbank 词头匹配"
"tomat","tomat","名词","","en","NTNU LearnNoW","06A","6","tomaten, tomater, tomatene","tomat · tomaten · tomatene · tomater","NOUN","True","","","","Ordbank 词头匹配"
"torg","torg","名词","","et","NTNU LearnNoW","06B","6","torget, torg, torgene","torg · torga · torgene · torget","NOUN","True","","","","Ordbank 词头匹配"
"tørke","tørke","动词","","å","NTNU LearnNoW","06A","6","tørker, tørket, har tørket","tørk · tørka · tørke · tørkede · tørken · tørkende · tørkene · tørker · tørkes · tørket · tørkete","VERB","True","","","","Ordbank 词头匹配"
"vanlig","vanlig","形容词","","","NTNU LearnNoW","06C","6","vanlig, vanlige","vanlig · vanlige · vanligere · vanligst · vanligste","ADJ","True","","","","Ordbank 词头匹配"
"vinterjakke","vinterjakke","名词","","ei","NTNU LearnNoW","06C","6","vinterjakka, vinterjakker, vinterjakkene","","","False","","","","存在多个可能词头；需人工消歧"
"deres","deres","限定词","","","NTNU LearnNoW; NTNU NoW1","07A; 09A","7","","deres","DET","True","","","","Ordbank 词头匹配"
"hennes","hennes","限定词","","","NTNU LearnNoW; NTNU NoW1","07A; 07D","7","","hennes","DET","True","","","","Ordbank 词头匹配"
"hvis","hvis","代词","","","NTNU LearnNoW; NTNU NoW1","07B; 10B","7","","hvis","PRON; SCONJ","True","","","","Ordbank 词头匹配"
"ingeniør","ingeniør","名词","","en","NTNU LearnNoW; NTNU NoW1","07A; 07B","7","ingeniøren, ingeniører, ingeniørene","ingeniør · ingeniøren · ingeniørene · ingeniører","NOUN","True","","","","Ordbank 词头匹配"
"jo","jo","名词","","","NTNU LearnNoW; NTNU NoW1","07C; 09A","7","","jo · joen · joene · joer","NOUN; ADV; INTJ","True","","","","Ordbank 词头匹配"
"kontakt","kontakt","名词","","en","NTNU LearnNoW; NTNU NoW1","07A; 09B","7","kontakten, kontakter, kontaktene","kontakt · kontakten · kontaktene · kontakter","NOUN","True","","","","Ordbank 词头匹配"
"lærer","lærer","名词","","en","NTNU LearnNoW; NorweigenLearn 当前词库","07D","7","en lærer · læreren · lærere · lærerne / læreren, lærere, lærerne","lærer · lærere · læreren · lærerne","NOUN","True","老师","Læreren hjelper elevene.","老师帮助学生们。","Ordbank 词头匹配"
"lykkelig","lykkelig","形容词","","","NTNU LearnNoW; NorweigenLearn 当前词库","07C","7","lykkelig, lykkelige / lykkeligere – lykkeligst","lykkelig · lykkelige · lykkeligere · lykkeligst · lykkeligste","ADJ","True","幸福的","Jeg blir lykkelig av tid med familien.","和家人在一起让我幸福。","Ordbank 词头匹配"
"skrive","skrive","动词","","å","NTNU LearnNoW; NorweigenLearn 当前词库","07B","7","skrive – skriver – skrev – skrevet / skriver, skrev, skrevet","skreiv · skrev · skreven · skrevet · skrevne · skriv · skrive · skrivende · skriver · skrives","VERB","True","写","Jeg skriver en melding.","","Ordbank 词头匹配"
"album","album","名词","","et","NTNU NoW1","07A","7","","album · albuma · albumene · albumer · albumet","NOUN","True","","","","Ordbank 词头匹配"
"alvorlig","alvorlig","形容词","","","NTNU LearnNoW","07C","7","alvorlig, alvorlige","alvorlig · alvorlige · alvorligere · alvorligst · alvorligste","ADJ","True","","","","Ordbank 词头匹配"
"amerikansk","amerikansk","名词","","","NTNU NoW1","07B","7","","amerikansk · amerikanske · amerikansken · amerikanskene · amerikansker","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"arbeidsdag","arbeidsdag","名词","","en","NTNU LearnNoW","07B","7","arbeidsdagen, arbeidsdager, arbeidsdagene","arbeidsdag · arbeidsdagen · arbeidsdagene · arbeidsdager","NOUN","True","","","","Ordbank 词头匹配"
"bak","bak","介词","","","NTNU LearnNoW","07A","7","","bak · baka · baken · bakene · baker · baket","ADP","True","","","","Ordbank 词头匹配"
"ballett","ballett","名词","","en","NTNU NoW1","07B","7","","ballett · balletten · ballettene · balletter","NOUN","True","","","","Ordbank 词头匹配"
"ballspill","ballspill","名词","","et","NTNU NoW1","07B","7","","ballspill · ballspilla · ballspillene · ballspillet","NOUN","True","","","","Ordbank 词头匹配"
"begynnelse","begynnelse","名词","","en","NTNU LearnNoW","07C","7","begynnelsen, begynnelser, begynnelsene","begynnelse · begynnelsen · begynnelsene · begynnelser","NOUN","True","","","","Ordbank 词头匹配"
"begynnerkurs","begynnerkurs","名词","","et","NTNU NoW1","07B","7","","","","False","","","","存在多个可能词头；需人工消歧"
"best","best","名词","","","NTNU NoW1","07B","7","","best · besta · beste · bestene · bestet","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"besteforelder","besteforeldre","名词","","","NTNU NoW1","07A","7","","besteforelder · besteforelderen · besteforeldra · besteforeldre · besteforeldrene","NOUN","True","","","","常见屈折形式/透明构词人工归一；待复核"
"bestevenn","bestevenn","名词","","en","NTNU LearnNoW","07C","7","bestevennen, bestevenner, bestevennene","bestevenn · bestevennen · bestevennene · bestevenner","NOUN","True","","","","Ordbank 词头匹配"
"bordtennis","bordtennis","名词","","","NTNU NoW1","07B","7","","bordtennis · bordtennisen · bordtennisene · bordtenniser","NOUN","True","","","","Ordbank 词头匹配"
"bort","bort","副词","","","NTNU LearnNoW","07C","7","","bort","ADV","True","","","","Ordbank 词头匹配"
"bråk","bråk","名词","","et","NTNU LearnNoW","07D","7","bråket","brækene · bræker · bråk · bråka · bråken · bråkene · bråket","NOUN","True","","","","Ordbank 词头匹配"
"byggfirma","byggfirma","名词","","et","NTNU LearnNoW","07B","7","byggfirmaet, byggfirmaer, byggfirmaene","","","False","","","","存在多个可能词头；需人工消歧"
"cricket","cricket","名词","","","NTNU NoW1","07B","7","","cricket · cricketen · cricketene · cricketer","NOUN","True","","","","Ordbank 词头匹配"
"dårlig","dårlig","形容词","","","NTNU LearnNoW","07C","7","dårlig, dårlige","dårlig · dårlige · dårligere · dårligst · dårligste · verre · verst · verste","ADJ","True","","","","Ordbank 词头匹配"
"deretter","deretter","副词","","","NTNU LearnNoW","07A","7","","deretter","ADV","True","","","","Ordbank 词头匹配"
"dessuten","dessuten","副词","","","NTNU LearnNoW","07D","7","","dessuten","ADV","True","","","","Ordbank 词头匹配"
"dimensjon","dimensjon","名词","","en","NTNU LearnNoW","07B","7","dimensjonen, dimensjoner, dimensjonene","dimensjon · dimensjonen · dimensjonene · dimensjoner","NOUN","True","","","","Ordbank 词头匹配"
"dum","dum","形容词","","","NTNU LearnNoW","07D","7","dumt, dumme","dum · dumme · dummere · dummest · dummeste · dumt","ADJ","True","","","","Ordbank 词头匹配"
"elev","elev","名词","","en","NTNU LearnNoW","07D","7","eleven, elever, elevene","elev · eleven · elevene · elever","NOUN","True","","","","Ordbank 词头匹配"
"enebarn","enebarn","名词","","et","NTNU NoW1","07A","7","","enebarn · enebarna · enebarnene · enebarnet","NOUN","True","","","","Ordbank 词头匹配"
"essay","essay","名词","","et","NTNU NoW1","07A","7","","essay · essaya · essayene · essayer · essayet","NOUN","True","","","","Ordbank 词头匹配"
"farfar","farfar","名词","","en","NTNU NoW1","07A","7","","farfar · farfaren · farfedre · farfedrene","NOUN","True","","","","Ordbank 词头匹配"
"farmor","farmor","名词","","ei","NTNU NoW1","07A","7","","farmødre · farmødrene · farmødrer · farmor · farmora · farmoren","NOUN","True","","","","Ordbank 词头匹配"
"firma","firma","名词","","et","NTNU LearnNoW","07B","7","firmaet, firmaer, firmaene","firma · firmaene · firmaer · firmaet","NOUN","True","","","","Ordbank 词头匹配"
"fjernkontroll","fjernkontroll","名词","","en","NTNU LearnNoW","07A","7","fjernkontrollen, fjernkontroller, fjernkontrollene","fjernkontroll · fjernkontrollen · fjernkontrollene · fjernkontroller","NOUN","True","","","","Ordbank 词头匹配"
"flott","flott","形容词","","","NTNU LearnNoW","07C","7","flott, flotte","flott · flotta · flotte · flotten · flottene · flotter · flottere · flottest · flotteste · flottet","ADJ","True","","","","Ordbank 词头匹配"
"forelder","forelder","名词","","","NTNU NoW1","07A","7","","forelder · forelderen · foreldra · foreldre · foreldrene","NOUN","True","","","","Ordbank 词头匹配"
"fornavn","fornavn","名词","","et","NTNU LearnNoW","07D","7","fornavnet, fornavn, fornavnene","fornavn · fornavna · fornavnene · fornavnet","NOUN","True","","","","Ordbank 词头匹配"
"fornøyd","fornøyd","形容词","","","NTNU LearnNoW","07D","7","fornøyd, fornøyde","fornøyd · fornøyde","ADJ","True","","","","Ordbank 词头匹配"
"første","første","副词","","","NTNU LearnNoW","07D","7","","første","ADJ","True","","","","Ordbank 词头匹配"
"fort","fort","副词","","","NTNU LearnNoW","07C","7","","fort · forta · forte · fortene · forter · fortere · fortest · forteste · fortet","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"fort","fort","名词","","","NTNU NoW1","07A","7","","fort · forta · forte · fortene · forter · fortere · fortest · forteste · fortet","NOUN; ADJ","True","","","","Ordbank 词头匹配"
"fritid","fritid","名词","","","NTNU NoW1","07B","7","","fritid · fritida · fritiden · fritidene · fritider","NOUN","True","","","","Ordbank 词头匹配"
